         symbol  pts     min         max           mean    stdev   skew         kurt      left  right 
         TGFBR2    16   62.68      152.59        103.90    26.09    0.17      -0.82    0.000  0.000 
          ITGA8    14    2.46       15.63          7.02     3.77    1.13       0.36    0.000  0.188 
          ITGA9    14    2.85        9.36          6.87     1.68   -0.86       0.56    0.062  0.125 
          STK40    15   17.47       28.48         22.00     3.30    0.42      -0.80    0.000  0.062 
          MYO3B    16    0.09        0.29          0.17     0.05    0.60      -0.11    0.000  0.000 
         ATP2A1    16    0.01        0.09          0.05     0.03    0.10      -0.89    0.000  0.000 
         ATP2A2    16   25.93       58.70         41.05     8.94    0.42      -0.17    0.000  0.000 
         ATP2A3    16    5.09       17.87         11.01     3.59    0.25      -0.86    0.000  0.000 
          ITGA1    16    5.65       35.45         15.30     9.20    1.17       0.38    0.000  0.125 
          ITGA2    16    2.29       11.74          5.40     2.44    1.21       1.15    0.000  0.062 
          ITGA3    16   28.24       78.49         59.35    16.43   -0.76      -0.87    0.000  0.000 
          ITGA4    13    5.76       16.12         10.99     3.24   -0.12      -1.13    0.000  0.188 
          ITGA5    16   62.43      238.86        132.43    55.61    0.77      -0.57    0.000  0.000 
          ITGA6    14   10.92       23.67         18.46     3.92   -0.52      -0.87    0.000  0.125 
          ITGA7    14    1.41        6.24          3.14     1.45    1.02      -0.03    0.000  0.188 
           TRHR    16    0.00        0.01          0.00     0.00    3.61      11.07    0.000  0.000 
        DENND4A    16    3.33        9.02          5.42     1.77    0.62      -0.65    0.000  0.062 
        DENND4B    16    5.03        8.08          6.74     1.05   -0.35      -1.37    0.000  0.000 
        DENND4C    16    6.83       16.05         10.39     2.60    0.69      -0.31    0.000  0.062 
         SWAP70    16   15.44       31.12         22.76     4.23    0.34      -0.69    0.000  0.000 
         PHLDA3    16   17.66       40.81         29.84     6.95   -0.11      -0.87    0.000  0.000 
         PHLDA2    16    1.22       17.23          5.22     4.42    1.89       2.42    0.000  0.125 
          TACO1    16    4.68        8.35          6.43     1.14   -0.02      -1.00    0.000  0.000 
           PMM1    16   13.11       44.59         27.84     9.96    0.30      -1.24    0.000  0.000 
          GAP43    16    0.00        0.28          0.07     0.08    1.70       2.02    0.000  0.000 
           NENF    16   27.64       46.16         36.02     5.54    0.43      -1.03    0.000  0.000 
           SQLE    15   10.59       21.58         16.86     3.05   -0.21      -0.68    0.062  0.062 
         FBXL13    16    0.30        1.16          0.65     0.22    0.43       0.07    0.000  0.000 
         FBXL12    16    6.06        8.88          7.41     0.88   -0.07      -1.14    0.000  0.000 
         FBXL15    15    2.69        4.16          3.37     0.52    0.09      -1.48    0.000  0.062 
        CYP27B1    16    0.19        1.11          0.54     0.27    0.60      -0.76    0.000  0.000 
         FBXL17    15    5.64        8.72          6.73     0.93    0.97      -0.06    0.000  0.125 
         FBXL16    16    0.37        3.76          1.04     0.79    2.72       7.19    0.000  0.000 
        FAM169A    16    0.14        0.65          0.39     0.14    0.50      -0.65    0.000  0.000 
        FAM169B    16    0.01        0.06          0.02     0.02    0.90      -0.22    0.000  0.000 
       RALGAPA2    16    3.62       11.71          7.32     2.32    0.18      -0.67    0.000  0.000 
           GHDC    15    9.08       13.85         11.88     1.40   -0.23      -0.65    0.000  0.062 
           SDK2    16    0.45        2.59          1.48     0.63    0.24      -1.07    0.000  0.000 
            GRP    16    0.12        2.95          0.74     0.72    1.92       3.57    0.000  0.000 
           TPRN    15    2.67        7.90          5.44     1.50   -0.07      -0.65    0.000  0.062 
          THSD4    16    3.63       12.82          7.36     2.71    0.67      -0.64    0.000  0.062 
          THSD1    16    1.48       13.36          5.71     3.55    0.87      -0.17    0.000  0.062 
          CHST9    16    0.02        3.04          1.10     1.10    0.43      -1.36    0.000  0.000 
          CHST8    16    0.05        0.23          0.13     0.05    0.33      -0.73    0.000  0.000 
         COL4A5    16    1.77        6.98          4.28     1.38    0.24      -0.35    0.000  0.000 
         COL4A4    16    1.67        6.17          4.14     1.49   -0.25      -1.31    0.000  0.000 
         COL4A3    15    1.08        6.33          3.73     1.79   -0.05      -1.35    0.000  0.062 
         COL4A2    15   30.81      111.56         71.24    24.43    0.01      -1.14    0.000  0.062 
         COL4A1    15   37.72      158.81         90.51    41.58    0.43      -1.21    0.000  0.062 
        SLC35D2    16    9.45       19.28         15.50     2.65   -0.73      -0.16    0.062  0.000 
          CHST1    16    0.49        3.18          1.27     0.79    1.19       0.48    0.000  0.000 
         ZNF879    16    0.40        1.51          0.90     0.30    0.24      -0.68    0.000  0.000 
          CHST3    16    1.25        7.33          3.82     1.69    0.68      -0.32    0.000  0.062 
          CHST2    16    1.92        7.55          4.47     1.58    0.19      -0.55    0.000  0.000 
          CHST5    16    0.15        0.41          0.27     0.08    0.37      -0.80    0.000  0.000 
          CHST4    16    0.06        1.41          0.33     0.33    2.44       5.46    0.000  0.000 
          CHST7    16    0.91        2.98          1.98     0.58    0.19      -0.66    0.000  0.000 
          CHST6    16    0.53        4.57          1.94     1.22    0.66      -0.55    0.000  0.000 
          ITGAX    16    8.91       47.22         26.93    11.41   -0.01      -0.95    0.000  0.000 
         BCL2A1    16   11.18       89.90         26.17    19.49    2.32       5.26    0.000  0.062 
          GPSM2    15    2.85        5.60          4.21     0.75    0.25      -0.66    0.000  0.062 
           HLCS    16    2.06        3.92          3.24     0.59   -0.67      -0.76    0.000  0.000 
            NOG    16    0.05        0.88          0.29     0.20    1.60       2.41    0.000  0.000 
           LIPG    16    0.54       18.64          3.24     4.50    2.73       6.86    0.000  0.062 
          ITGAV    16    8.28       23.58         14.95     4.77    0.51      -1.05    0.000  0.000 
          HIBCH    15    5.98       10.50          8.11     1.51   -0.00      -1.42    0.000  0.062 
         ZNF703    16    0.59        2.00          1.41     0.42   -0.23      -0.86    0.000  0.000 
          ITGAL    16   11.35       28.16         20.85     5.06   -0.47      -0.57    0.000  0.000 
          ITGAM    15   10.50       41.26         25.26     8.46    0.13      -0.60    0.000  0.062 
            HLF    16    3.02       11.41          7.62     3.08   -0.18      -1.52    0.000  0.000 
            NOV    16    1.00       21.43          4.15     5.17    2.55       5.96    0.000  0.062 
        FAM134C    16   10.60       27.25         19.95     5.14   -0.23      -1.06    0.000  0.000 
        FAM134B    15    3.27       11.86          7.24     2.66   -0.03      -0.99    0.000  0.062 
        FAM134A    16   13.65       22.96         18.98     2.86   -0.74      -0.61    0.000  0.000 
       SERPING1    15  233.28      505.22        389.50    76.36   -0.39      -0.53    0.062  0.062 
         ZNF700    16    1.53        4.41          3.08     0.77   -0.10      -0.27    0.062  0.000 
          SMAD9    16    0.67        5.09          2.53     1.25    0.66      -0.44    0.000  0.000 
         TRERF1    16    0.68        2.66          1.41     0.57    0.67      -0.28    0.000  0.000 
         LRPAP1    16   62.31      104.56         85.69    12.13    0.06      -0.78    0.000  0.000 
          SMAD6    14    1.26       15.41          7.19     3.86    0.62      -0.07    0.000  0.188 
          SMAD7    14    9.55       23.35         18.21     4.32   -0.69      -0.81    0.062  0.125 
        GOLPH3L    16    5.02       11.96          8.76     2.09   -0.03      -1.03    0.000  0.000 
          SMAD1    16    3.98       11.82          7.31     2.21    0.67       0.20    0.000  0.125 
          AFTPH    16    9.03       13.43         11.61     1.32   -0.49      -0.25    0.000  0.000 
          SMAD3    15    6.35       12.09          9.51     2.09   -0.38      -1.37    0.000  0.062 
            F12    16    0.03        0.39          0.24     0.10   -0.71      -0.03    0.000  0.000 
       AMMECR1L    16    3.60        7.17          5.34     1.01    0.14      -0.59    0.000  0.000 
       IL1RAPL1    16    0.00        0.05          0.02     0.01    1.11       0.69    0.000  0.000 
      TMPRSS11B    16    0.20        0.40          0.32     0.07   -0.11      -1.28    0.000  0.000 
          IGF2R    16   11.72       35.62         25.59     6.60   -0.37      -0.47    0.062  0.000 
      TMPRSS11D    16    0.00        0.12          0.02     0.03    2.76       7.45    0.000  0.000 
            F10    16    3.37       10.76          5.37     1.67    2.14       4.99    0.000  0.062 
      TMPRSS11F    16    0.00        0.01          0.00     0.00    1.45       0.28    0.000  0.000 
            F11    16    1.01        5.25          2.91     1.35    0.42      -1.04    0.000  0.000 
         ZC3H10    15    1.84        4.08          3.23     0.80   -0.59      -1.07    0.000  0.000 
        RAD21L1    16    0.00        0.03          0.00     0.01    1.96       3.63    0.000  0.000 
         ZNF556    16    0.16        0.35          0.27     0.06   -0.66      -0.51    0.000  0.000 
       IL1RAPL2    16    0.00        0.02          0.00     0.01    2.07       3.68    0.000  0.000 
        SLC36A3    16    0.18        0.40          0.27     0.06    0.68       0.25    0.000  0.000 
          CKS1B    16   10.83       22.22         16.12     3.28    0.24      -0.82    0.000  0.000 
        SLC36A1    16    3.85       12.31          7.45     2.68    0.59      -0.65    0.000  0.000 
           EXOG    16    1.30        2.27          1.75     0.29    0.22      -0.88    0.000  0.000 
           ST13    16   53.12       79.22         65.86     7.59    0.04      -0.83    0.000  0.000 
           TMX2    15   27.04       46.59         39.54     5.64   -0.85      -0.25    0.062  0.062 
         ZC3H15    16   13.86       33.04         18.99     4.93    1.47       2.07    0.000  0.062 
        TMEM213    16    0.31       12.65          3.65     3.83    1.09      -0.00    0.000  0.062 
         ERICH1    15    3.52        5.44          4.66     0.49   -0.54       0.13    0.062  0.062 
           ARTN    16    0.02        0.32          0.14     0.09    0.70      -0.37    0.000  0.000 
           ART1    16    0.02        0.64          0.16     0.17    1.64       1.93    0.000  0.000 
           HRH3    16    0.00        0.02          0.00     0.01    1.46       1.08    0.000  0.000 
           ART3    16    0.37        0.76          0.60     0.12   -0.24      -1.12    0.000  0.000 
           ART5    16    0.07        0.63          0.32     0.16    0.51      -0.55    0.000  0.000 
           ART4    16    1.04        5.98          2.58     1.42    0.91       0.06    0.000  0.000 
          IL5RA    16    0.21        3.59          1.22     0.89    1.11       1.13    0.000  0.000 
         RNF111    16    3.58        7.37          5.26     1.18    0.20      -1.08    0.000  0.000 
          TCEA2    15    5.46        9.67          7.17     1.42    0.42      -1.17    0.000  0.062 
          TCEA3    16   25.08       63.81         40.86    11.88    0.48      -0.90    0.000  0.000 
          TCEA1    14   27.01       40.28         36.57     4.32   -1.25       0.29    0.062  0.125 
         COX4I2    16    8.66       19.49         13.52     3.90    0.34      -1.41    0.000  0.000 
         COX4I1    15   62.76      115.09         93.03    14.22   -0.18      -0.39    0.062  0.062 
           BFAR    16   15.62       25.57         21.85     2.73   -1.23       0.72    0.125  0.000 
         ZC3H18    16    9.81       18.80         15.00     2.50   -0.74      -0.36    0.062  0.000 
        TMEM212    15    3.39        7.96          5.91     1.60   -0.34      -1.37    0.000  0.062 
         TCEB3B    16    0.00        0.01          0.00     0.00    1.18      -0.20    0.000  0.000 
          SIPA1    15    7.92       15.10         11.92     2.31   -0.25      -1.29    0.000  0.062 
          CRTAM    16    0.99        4.48          2.09     0.80    1.58       2.96    0.000  0.000 
            EDA    16    3.26       13.11          6.39     2.74    1.11       0.68    0.000  0.062 
          OR6P1    16    0.00        0.01          0.00     0.00    3.61      11.07    0.000  0.000 
        CCDC116    16    0.03        0.09          0.06     0.02    0.20      -1.24    0.000  0.000 
         CADPS2    15    6.84       12.28          9.56     1.41    0.08      -0.35    0.000  0.062 
        CCDC114    15    0.12        8.71          2.57     2.72    1.08       0.18    0.000  0.000 
        CCDC115    15   16.51       29.87         23.89     3.73   -0.28      -0.63    0.000  0.062 
        CCDC112    16    1.28        3.11          2.25     0.50   -0.14      -0.73    0.000  0.000 
        CCDC113    16    0.50        9.39          3.02     2.89    0.95      -0.37    0.000  0.062 
        CCDC110    16    0.09        0.39          0.20     0.08    0.92       0.68    0.000  0.000 
           LEO1    15    3.51        8.14          6.29     1.29   -0.39      -0.48    0.062  0.062 
         ATP1A4    16    0.16        0.39          0.27     0.06    0.28      -0.70    0.000  0.000 
         ATP1A3    16    0.11        0.59          0.31     0.13    0.53      -0.59    0.000  0.000 
         ATP1A2    16    0.97       11.53          4.57     3.47    0.92      -0.58    0.000  0.062 
         ATP1A1    15  171.33      358.16        259.02    53.21    0.10      -0.64    0.000  0.062 
          MGRN1    15   12.47       22.24         18.09     2.95   -0.51      -0.73    0.000  0.062 
           TCP1    15   32.47       48.15         41.12     5.11   -0.39      -0.94    0.000  0.062 
          CRTAP    13   24.32       33.49         29.98     3.07   -0.76      -0.54    0.000  0.125 
           CBLC    16    0.40        1.53          0.95     0.34   -0.17      -1.07    0.000  0.000 
          SPHK1    16    1.61       13.53          4.57     3.09    1.78       2.61    0.000  0.062 
            DPT    15   12.44       51.26         32.32    12.81   -0.18      -1.16    0.000  0.062 
         CUEDC1    16    5.97       10.24          8.07     1.41    0.17      -1.08    0.000  0.000 
         CUEDC2    15   26.63       39.57         33.58     3.98   -0.12      -1.31    0.000  0.062 
           CBLB    13    3.64        5.68          4.68     0.73   -0.08      -1.45    0.000  0.188 
          CPEB4    16    5.37       11.16          7.81     1.54    0.45      -0.29    0.000  0.062 
          CPEB1    16    0.23        1.26          0.68     0.33    0.20      -1.19    0.000  0.000 
          ZNF45    16    1.97        4.13          3.18     0.65   -0.40      -1.00    0.000  0.000 
          CPEB3    16    0.79        2.19          1.30     0.39    0.78      -0.21    0.000  0.000 
          CPEB2    15    2.74        5.53          4.48     0.86   -0.55      -0.71    0.062  0.062 
         BEGAIN    16    0.05        0.48          0.24     0.12    0.46      -0.55    0.000  0.000 
         RBMXL3    16    0.00        0.00          0.00     0.00    0.58      -1.10    0.000  0.000 
          OSGEP    16    7.16       13.21         10.05     1.82    0.36      -0.88    0.000  0.000 
           ABAT    16    1.54        3.40          2.36     0.58    0.33      -0.98    0.000  0.000 
        ZNF780A    16    1.48        4.49          2.67     0.80    0.66      -0.14    0.000  0.000 
        ZNF780B    16    0.68        1.55          1.09     0.27   -0.05      -1.00    0.000  0.000 
           TLN2    16    0.54        3.01          1.79     0.74    0.18      -1.08    0.000  0.000 
        TSNARE1    16    3.08        5.50          4.13     0.81    0.28      -1.24    0.000  0.000 
           FRG1    16   15.38       31.28         21.52     4.29    1.02       0.48    0.000  0.062 
           FRG2    16    0.01        0.07          0.04     0.01   -0.29      -0.17    0.000  0.000 
         RHEBL1    16    0.25        1.78          0.64     0.39    1.58       2.32    0.000  0.000 
          ZNF41    16    1.94        4.02          2.71     0.69    0.68      -0.90    0.000  0.000 
          IFT80    16    3.82        7.10          5.50     0.88   -0.09      -0.61    0.000  0.000 
          IFT81    16    1.89        4.92          3.48     0.83   -0.03      -0.79    0.000  0.000 
          NUP98    16   17.69       38.01         27.19     6.21    0.32      -1.07    0.000  0.000 
          IFT88    16    2.41        5.40          3.90     0.85   -0.07      -1.03    0.000  0.000 
         IL10RA    15   10.19       19.73         15.12     3.10    0.02      -1.11    0.000  0.062 
        POU5F1B    16    0.04        0.40          0.20     0.09    0.07      -0.08    0.000  0.000 
            SP1    15    7.91       15.74         12.12     2.28    0.00      -0.94    0.000  0.062 
        SLC27A4    15    4.80       11.15          8.76     1.45   -0.96       2.08    0.062  0.062 
            SP2    15    5.49        9.94          8.36     1.19   -0.84       0.28    0.062  0.062 
           PNOC    16    0.14        2.93          0.62     0.82    2.21       3.19    0.000  0.000 
           CNTF    16    0.06        0.25          0.14     0.05    0.35      -0.46    0.000  0.000 
          MCM10    16    0.05        0.76          0.23     0.19    1.61       1.93    0.000  0.000 
          PDIA5    15   10.60       19.13         14.69     2.43    0.05      -0.56    0.000  0.062 
            SP4    16    1.48        2.69          2.00     0.35    0.42      -0.64    0.000  0.000 
        IGFBPL1    16    0.13        1.21          0.47     0.29    1.13       0.70    0.000  0.000 
            SP5    16    0.05        0.73          0.35     0.19    0.57      -0.39    0.000  0.000 
          ATG4C    15    2.32        5.32          4.31     0.90   -0.71      -0.35    0.062  0.062 
          ATG4B    16    7.53       11.45          9.23     1.26    0.31      -1.05    0.000  0.000 
          ATG4A    16    6.14       10.01          7.48     1.21    1.03       0.07    0.000  0.125 
        THUMPD2    16    1.27        3.46          2.29     0.54    0.29      -0.09    0.000  0.000 
          ATG4D    16    3.90        7.07          5.50     0.91    0.01      -1.08    0.000  0.000 
         PHOX2A    16    0.00        0.02          0.00     0.00    2.70       6.42    0.000  0.000 
         PHOX2B    16    0.00        0.00          0.00     0.00    3.61      11.07    0.000  0.000 
          LRGUK    16    0.02        0.78          0.28     0.25    0.57      -0.95    0.000  0.000 
           UPK2    16    0.00        0.84          0.18     0.21    1.95       3.70    0.000  0.000 
            CFH    15   27.55      127.34         66.74    32.48    0.50      -0.89    0.000  0.062 
            CFI    16   18.46       58.33         33.95    10.83    0.68      -0.18    0.000  0.062 
            PNP    16   15.94      167.99         51.71    47.32    1.91       2.20    0.000  0.125 
         ANKFY1    16    5.25       16.66         11.09     3.01    0.20      -0.37    0.000  0.000 
            CFB    14   14.49       42.29         27.43     8.74    0.50      -0.90    0.000  0.125 
          OR5P3    16    0.00        0.05          0.01     0.01    0.89       0.37    0.000  0.000 
          OR5P2    16    0.00        0.04          0.02     0.02    0.31      -1.33    0.000  0.000 
          MLLT4    15   12.35       32.15         23.00     6.34   -0.42      -0.96    0.000  0.062 
         CREBBP    16    4.37       12.25          8.80     2.10   -0.35      -0.38    0.062  0.000 
            PNN    14    8.15       13.54         11.48     1.38   -0.88       0.66    0.062  0.125 
        PHYHIPL    16    0.34        1.34          0.67     0.30    0.70      -0.45    0.000  0.000 
       ATP6V0E1    16  154.42      245.43        185.66    29.28    1.02      -0.14    0.000  0.125 
       ATP6V0E2    14    4.63        9.07          6.77     1.34    0.15      -1.01    0.000  0.125 
         RNF128    15    2.93       11.21          7.89     2.55   -0.60      -0.76    0.000  0.000 
            CFP    16    1.72        8.67          5.42     1.87   -0.09      -0.58    0.000  0.000 
           AAAS    16    7.09       12.13         10.19     1.14   -0.95       1.68    0.062  0.000 
           HAMP    16    0.10        7.06          1.25     1.87    2.23       4.06    0.000  0.000 
          LTBP1    15    7.41       37.10         18.24    10.78    0.63      -1.19    0.000  0.062 
          SIDT1    16    1.47        6.43          2.86     1.24    1.70       2.35    0.000  0.000 
          SIDT2    16   19.41       64.56         38.38    12.29    0.49      -0.40    0.000  0.062 
           SIX4    16    0.55        2.88          1.39     0.65    0.80      -0.23    0.000  0.000 
           SIX6    16    0.00        0.01          0.00     0.00    3.61      11.07    0.000  0.000 
         PM20D1    16    0.03        0.52          0.25     0.16    0.23      -1.03    0.000  0.000 
            MR1    16    9.22       18.68         13.94     2.69   -0.05      -0.90    0.000  0.000 
           SIX3    16    0.00        0.19          0.04     0.05    1.79       2.79    0.000  0.000 
          CNPY4    15    3.08        8.59          6.00     1.48   -0.05      -0.43    0.000  0.062 
          CNPY3    14   25.85       36.97         33.38     3.02   -0.94       0.68    0.062  0.125 
          CNPY2    14   19.75       32.25         26.32     3.40   -0.21      -0.49    0.000  0.125 
          CNPY1    16    0.00        0.01          0.00     0.00    2.83       6.69    0.000  0.000 
          NODAL    16    0.03        0.23          0.13     0.06   -0.10      -1.10    0.000  0.000 
          SYNJ1    16    1.86        3.85          2.65     0.65    0.64      -1.16    0.000  0.000 
          KNDC1    16    1.16        6.16          3.43     1.51    0.26      -0.80    0.000  0.000 
         HMG20A    16    5.87       12.23          8.61     1.81    0.46      -0.58    0.000  0.000 
         HMG20B    16   16.46       24.59         21.00     2.23   -0.20      -0.62    0.062  0.000 
       PHOSPHO2    16    0.81        2.14          1.29     0.42    0.74      -0.72    0.000  0.000 
           TMIE    16    0.24        1.29          0.66     0.35    0.28      -1.25    0.000  0.000 
          AAGAB    16    7.44       13.28         10.35     1.45    0.40       0.21    0.062  0.062 
       PHOSPHO1    16    0.13        1.66          0.69     0.48    0.78      -0.61    0.000  0.000 
        ZCCHC13    16    0.00        0.00          0.00     0.00    0.00      -3.00    0.000  0.000 
       SLC7A6OS    16    1.99        3.83          2.89     0.53    0.22      -0.63    0.000  0.000 
          SCYL2    15   11.31       19.05         15.98     2.67   -0.45      -1.33    0.000  0.062 
          SYNJ2    16    1.21        4.42          2.49     1.00    0.57      -0.88    0.000  0.000 
            MRO    16    0.40        0.70          0.52     0.11    0.47      -1.11    0.000  0.000 
           TNP1    16    0.00        0.00          0.00     0.00    0.00      -3.00    0.000  0.000 
         NLRP10    16    0.00        0.03          0.00     0.01    1.82       2.91    0.000  0.000 
           CHFR    16    4.27        7.37          5.64     0.90    0.21      -0.85    0.000  0.000 
          RTBDN    16    0.12        0.31          0.19     0.06    0.66      -0.82    0.000  0.000 
          GPR75    16    0.19        1.14          0.47     0.28    1.33       0.54    0.000  0.000 
          SYPL2    16    0.21        1.53          0.89     0.40   -0.18      -0.84    0.000  0.000 
           RFX8    16    0.01        0.20          0.07     0.05    1.12       0.47    0.000  0.000 
         ZNF222    16    0.97        1.98          1.48     0.32    0.05      -1.06    0.000  0.000 
           RFX4    16    0.03        0.13          0.07     0.03    0.66      -0.40    0.000  0.000 
          OSCAR    15    6.21       24.31         17.67     6.30   -0.55      -1.12    0.000  0.000 
          AVPR2    16    0.23        2.09          0.98     0.45    0.76       0.86    0.000  0.000 
           RFX7    15    2.51        6.69          4.81     1.28   -0.13      -0.99    0.000  0.062 
          NRXN3    16    0.88        2.96          1.80     0.53    0.09       0.02    0.000  0.000 
          NRXN2    16    0.11        0.92          0.34     0.23    1.44       1.04    0.000  0.000 
          NRXN1    16    0.03        0.56          0.16     0.13    1.74       3.38    0.000  0.000 
           RFX3    16    0.51        3.40          1.40     0.76    1.10       0.95    0.000  0.000 
          RFPL2    16    0.01        0.15          0.04     0.03    1.90       4.06    0.000  0.000 
         VPS37D    16    0.17        0.84          0.46     0.19    0.43      -0.73    0.000  0.000 
         NLRP13    16    0.00        0.00          0.00     0.00    0.00      -3.00    0.000  0.000 
            APC    14    1.91        4.62          3.30     0.84    0.29      -0.95    0.000  0.125 
       TMEM179B    15   33.55       49.68         40.42     5.71    0.38      -1.36    0.000  0.062 
          ABCE1    16    7.59       14.94         11.18     2.30    0.19      -1.17    0.000  0.000 
         UQCRC2    15   51.45       74.93         61.86     7.47    0.35      -1.20    0.000  0.062 
        XPNPEP1    15   11.95       16.29         14.64     1.24   -0.47      -0.28    0.062  0.062 
        XPNPEP2    16    0.24        2.92          1.16     0.77    0.63      -0.40    0.000  0.000 
          TIGD4    16    0.03        0.36          0.18     0.11    0.37      -1.19    0.000  0.000 
         ZNHIT3    14   11.51       17.37         15.07     2.20   -0.49      -1.40    0.000  0.062 
           GGCX    16    5.34       14.61         11.27     2.44   -0.72       0.17    0.062  0.000 
          PAPLN    16    2.15        6.17          3.67     1.27    0.82      -0.60    0.000  0.000 
